record_id,factor,factor_type,concern,study_design,year,evidence_base,direction,confidence,source_url,citation
33984185,Ceramide-dominant moisturizer,Topical,Barrier dysfunction,Randomized trial,2021,Adults with moderate eczema,Supportive,Moderate,https://pubmed.ncbi.nlm.nih.gov/33984185/,"Spada F et al. Dermatol Ther. 2021;34(4):e14970"
31585489,Ceramide moisturizer,Topical,Dryness,Split-site randomized trial,2019,24 participants with xerosis,Supportive,Early,https://pubmed.ncbi.nlm.nih.gov/31585489/,"Lueangarun S et al. Dermatol Ther. 2019;32(6):e13090"
23732711,Daily sunscreen,Habit,Photoaging,Community randomized trial,2013,903 adults younger than 55,Supportive,Higher,https://pubmed.ncbi.nlm.nih.gov/23732711/,"Hughes MCB et al. Ann Intern Med. 2013;158(11):781-790"
22678562,Low-glycemic-load diet,Diet,Acne,Randomized controlled trial,2012,32 participants,Supportive,Early,https://pubmed.ncbi.nlm.nih.gov/22678562/,"Kwon HH et al. Acta Derm Venereol. 2012;92(3):241-246"
17448569,Low-glycemic-load diet,Diet,Acne,Investigator-masked randomized trial,2007,43 male participants,Supportive,Early,https://pubmed.ncbi.nlm.nih.gov/17448569/,"Smith RN et al. J Am Acad Dermatol. 2007;57(2):247-256"
21822427,Niacinamide 4%,Topical,Melasma,Split-face randomized trial,2011,27 participants,Context dependent,Early,https://pubmed.ncbi.nlm.nih.gov/21822427/,"Navarrete-Solis J et al. Dermatol Res Pract. 2011:379173"
34804354,Niacinamide plus benzoyl peroxide,Topical,Acne,Split-face randomized trial,2021,21 adults,Context dependent,Early,https://pubmed.ncbi.nlm.nih.gov/34804354/,"Kaewsanit T et al. J Clin Aesthet Dermatol. 2021;14(6):35-41"
37550898,Azelaic acid,Topical,Acne / rosacea / melasma,Systematic review,2023,43 randomized trials,Supportive,Higher,https://pubmed.ncbi.nlm.nih.gov/37550898/,"King S et al. J Cosmet Dermatol. 2023;22(10):2650-2662"
40324552,Oral collagen supplements,Supplement,Skin aging,Systematic review and meta-analysis,2025,23 RCTs / 1474 participants,Mixed,Higher,https://pubmed.ncbi.nlm.nih.gov/40324552/,"Myung S-K and Park Y. Am J Med. 2025;138(9):1264-1277"
AAD-ACNE-2024,Evidence-based acne therapies,Guideline,Acne,Clinical practice guideline,2024,Multidisciplinary evidence synthesis,Supportive,Higher,https://www.aad.org/member/clinical-quality/guidelines/acne,"American Academy of Dermatology. Acne clinical guideline. Updated 2024"
